,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
179,<0,21,critical/other existing credit,new car,571,<100,>=7,4,male single,none,4,real estate,60.16532438596479,none,own,2,skilled,1,none,yes,good,4
186,0<=X<200,9,all paid,used car,5129,<100,>=7,2,male single,none,4,no known property,60.16532438596479,bank,for free,1,skilled,2,yes,yes,bad,4
283,no checking,15,critical/other existing credit,furniture/equipment,1520,no known savings,>=7,4,male single,none,4,life insurance,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
360,0<=X<200,18,existing paid,education,1239,no known savings,1<=X<4,4,male single,none,4,no known property,60.16532438596479,none,for free,1,skilled,1,none,yes,good,4
430,no checking,5,existing paid,business,3448,<100,4<=X<7,1,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
438,<0,42,critical/other existing credit,repairs,3394,<100,unemployed,4,male single,co applicant,4,car,60.16532438596479,none,own,2,skilled,1,none,yes,good,4
449,0<=X<200,15,delayed previously,repairs,1512,>=1000,1<=X<4,3,male single,none,3,life insurance,60.16532438596479,stores,own,2,skilled,1,none,yes,bad,4
465,<0,24,existing paid,used car,2924,<100,1<=X<4,3,male single,guarantor,4,no known property,60.16532438596479,bank,own,1,skilled,2,yes,yes,good,4
487,no checking,24,existing paid,new car,3757,<100,>=7,4,male single,co applicant,4,no known property,60.16532438596479,none,for free,1,skilled,1,yes,yes,good,4
544,no checking,12,critical/other existing credit,new car,1255,<100,>=7,4,male single,none,4,real estate,60.16532438596479,none,own,2,skilled,1,none,yes,good,4
554,0<=X<200,9,existing paid,education,1199,<100,4<=X<7,4,male single,none,4,life insurance,60.16532438596479,none,own,2,skilled,1,yes,yes,good,4
589,<0,12,critical/other existing credit,furniture/equipment,2246,<100,>=7,3,male single,none,3,life insurance,60.16532438596479,none,own,2,skilled,1,none,yes,bad,4
624,<0,18,existing paid,radio/tv,2600,<100,1<=X<4,4,male single,none,4,no known property,60.16532438596479,none,for free,2,skilled,1,none,yes,bad,4
678,<0,24,existing paid,radio/tv,2384,<100,>=7,4,male single,none,4,real estate,60.16532438596479,bank,rent,1,skilled,1,none,yes,good,4
715,no checking,30,critical/other existing credit,used car,7596,no known savings,>=7,1,male single,none,4,car,60.16532438596479,none,own,2,skilled,1,none,yes,good,4
723,0<=X<200,9,existing paid,radio/tv,790,500<=X<1000,1<=X<4,4,male single,none,3,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
756,>=200,6,critical/other existing credit,new car,1299,<100,1<=X<4,1,male single,none,1,real estate,60.16532438596479,none,own,3,skilled,2,none,no,good,4
774,>=200,12,critical/other existing credit,new car,1480,500<=X<1000,unemployed,2,male single,none,4,no known property,60.16532438596479,bank,for free,3,skilled,1,none,yes,good,4
816,no checking,6,existing paid,domestic appliance,1338,500<=X<1000,1<=X<4,1,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
846,no checking,18,existing paid,new car,6761,no known savings,1<=X<4,2,male single,none,4,car,60.16532438596479,none,rent,2,skilled,1,none,yes,bad,4
987,no checking,13,existing paid,radio/tv,1409,100<=X<500,unemployed,2,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
955,<0,24,critical/other existing credit,radio/tv,1231,>=1000,>=7,4,female div/dep/mar,none,4,life insurance,56.72979337610679,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good,5
448,>=200,12,existing paid,furniture/equipment,1424,no known savings,>=7,3,female div/dep/mar,none,4,real estate,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,5
813,<0,48,existing paid,domestic appliance,3051,<100,1<=X<4,3,female div/dep/mar,none,4,car,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,5
514,no checking,24,existing paid,new car,2255,no known savings,<1,4,female div/dep/mar,none,1,life insurance,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,5
261,<0,24,existing paid,radio/tv,1603,<100,>=7,4,female div/dep/mar,none,4,car,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,5
263,no checking,12,critical/other existing credit,education,2748,<100,>=7,2,female div/dep/mar,none,4,no known property,56.72979337610679,bank,for free,3,high qualif/self emp/mgmt,1,none,yes,good,5
967,no checking,15,existing paid,radio/tv,3568,<100,>=7,4,female div/dep/mar,none,2,car,56.72979337610679,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,5
815,0<=X<200,36,delayed previously,new car,7432,<100,1<=X<4,2,female div/dep/mar,none,2,life insurance,56.72979337610679,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,5
378,0<=X<200,36,existing paid,new car,14318,<100,>=7,4,female div/dep/mar,none,2,no known property,56.72979337610679,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad,5
33,no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,female div/dep/mar,none,4,no known property,56.72979337610679,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,5
94,0<=X<200,12,existing paid,new car,1318,>=1000,>=7,4,female div/dep/mar,none,4,real estate,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,5
482,<0,30,existing paid,furniture/equipment,3622,>=1000,>=7,4,female div/dep/mar,none,4,life insurance,56.72979337610679,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good,5
190,no checking,24,existing paid,business,4591,>=1000,1<=X<4,2,female div/dep/mar,none,3,life insurance,56.72979337610679,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad,5
396,<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,female div/dep/mar,none,4,no known property,56.72979337610679,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good,5
300,no checking,6,existing paid,new car,672,<100,unemployed,1,female div/dep/mar,none,4,real estate,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,5
808,0<=X<200,42,all paid,used car,9283,<100,unemployed,1,female div/dep/mar,none,2,no known property,56.72979337610679,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,5
54,0<=X<200,36,delayed previously,new car,2225,<100,>=7,4,female div/dep/mar,none,4,no known property,56.72979337610679,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad,5
90,no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,female div/dep/mar,none,4,real estate,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,5
849,<0,12,existing paid,radio/tv,709,<100,>=7,4,female div/dep/mar,none,4,real estate,56.72979337610679,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad,5
91,<0,12,critical/other existing credit,used car,1409,<100,>=7,4,female div/dep/mar,none,3,real estate,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,5
209,no checking,12,existing paid,used car,1413,>=1000,4<=X<7,3,female div/dep/mar,none,2,life insurance,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,no,good,5
259,no checking,11,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,4,female div/dep/mar,none,4,real estate,56.72979337610679,none,own,3,high qualif/self emp/mgmt,1,none,yes,good,5
293,>=200,42,critical/other existing credit,used car,4796,<100,>=7,4,female div/dep/mar,none,4,no known property,56.72979337610679,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good,5
429,<0,18,critical/other existing credit,repairs,1190,<100,unemployed,2,female div/dep/mar,none,4,no known property,56.72979337610679,none,for free,3,high qualif/self emp/mgmt,2,none,yes,bad,5
680,no checking,6,existing paid,education,1538,<100,<1,1,female div/dep/mar,none,2,no known property,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,5
754,no checking,12,delayed previously,repairs,1555,>=1000,>=7,4,female div/dep/mar,none,4,no known property,56.72979337610679,none,for free,2,high qualif/self emp/mgmt,2,none,yes,bad,5
798,no checking,24,delayed previously,new car,717,no known savings,>=7,4,female div/dep/mar,none,4,car,56.72979337610679,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,5
800,no checking,24,critical/other existing credit,education,1597,<100,>=7,4,female div/dep/mar,none,4,no known property,56.72979337610679,none,for free,2,high qualif/self emp/mgmt,2,none,yes,good,5
924,<0,24,all paid,furniture/equipment,6872,<100,<1,2,female div/dep/mar,none,1,life insurance,56.72979337610679,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,5
975,>=200,24,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,3,female div/dep/mar,none,3,car,56.72979337610679,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,5
484,no checking,12,critical/other existing credit,new car,1163,500<=X<1000,1<=X<4,4,male mar/wid,none,4,real estate,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
551,no checking,6,all paid,radio/tv,1750,500<=X<1000,>=7,2,male mar/wid,none,4,life insurance,45.23088339155951,bank,own,1,high qualif/self emp/mgmt,2,none,yes,good,6
738,no checking,6,critical/other existing credit,new car,6761,<100,4<=X<7,1,male mar/wid,none,3,no known property,45.23088339155951,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
732,0<=X<200,8,existing paid,radio/tv,760,<100,4<=X<7,4,male mar/wid,guarantor,2,real estate,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
211,no checking,36,existing paid,radio/tv,3835,no known savings,>=7,2,male mar/wid,none,4,real estate,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
693,<0,6,critical/other existing credit,new car,4716,no known savings,<1,1,male mar/wid,none,3,real estate,45.23088339155951,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,6
609,no checking,15,existing paid,used car,1300,no known savings,>=7,4,male mar/wid,none,4,no known property,45.23088339155951,bank,for free,1,high qualif/self emp/mgmt,2,none,yes,good,6
304,no checking,48,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,2,male mar/wid,none,2,no known property,45.23088339155951,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,6
940,no checking,12,existing paid,new car,3527,no known savings,<1,2,male mar/wid,none,3,life insurance,45.23088339155951,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good,6
268,<0,14,existing paid,new car,8978,<100,>=7,1,male mar/wid,none,4,life insurance,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad,6
3,<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male mar/wid,guarantor,4,life insurance,45.23088339155951,none,for free,1,high qualif/self emp/mgmt,2,none,yes,good,6
42,0<=X<200,18,delayed previously,repairs,6204,<100,1<=X<4,2,male mar/wid,none,4,real estate,45.23088339155951,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good,6
509,no checking,39,existing paid,used car,8588,100<=X<500,>=7,4,male mar/wid,none,2,car,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
520,no checking,24,critical/other existing credit,repairs,5507,<100,>=7,3,male mar/wid,none,4,no known property,45.23088339155951,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good,6
80,no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,male mar/wid,none,1,car,45.23088339155951,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,6
335,<0,6,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,1,male mar/wid,none,4,real estate,45.23088339155951,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad,6
297,no checking,10,existing paid,new car,1287,no known savings,>=7,4,male mar/wid,co applicant,2,life insurance,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,none,no,good,6
18,0<=X<200,24,existing paid,used car,12579,<100,>=7,4,male mar/wid,none,2,no known property,45.23088339155951,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad,6
21,<0,6,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,2,male mar/wid,none,3,real estate,45.23088339155951,none,rent,1,high qualif/self emp/mgmt,2,none,yes,good,6
901,no checking,20,critical/other existing credit,new car,3485,no known savings,<1,2,male mar/wid,none,4,real estate,45.23088339155951,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,6
23,0<=X<200,12,critical/other existing credit,used car,1804,100<=X<500,<1,3,male mar/wid,none,4,life insurance,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
139,>=200,12,existing paid,radio/tv,1881,<100,1<=X<4,2,male mar/wid,none,2,car,45.23088339155951,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,6
157,<0,12,all paid,retraining,339,<100,>=7,4,male mar/wid,none,1,car,45.23088339155951,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
479,<0,15,critical/other existing credit,furniture/equipment,1478,<100,>=7,4,male mar/wid,none,4,car,45.23088339155951,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
539,>=200,18,existing paid,furniture/equipment,3049,<100,<1,1,male mar/wid,none,1,life insurance,45.23088339155951,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
600,0<=X<200,7,existing paid,radio/tv,2329,<100,<1,1,male mar/wid,guarantor,1,real estate,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
631,<0,18,all paid,furniture/equipment,1553,<100,1<=X<4,4,male mar/wid,none,3,car,45.23088339155951,bank,own,1,high qualif/self emp/mgmt,1,none,yes,bad,6
712,no checking,21,existing paid,used car,2476,no known savings,>=7,4,male mar/wid,none,4,real estate,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
830,no checking,24,delayed previously,business,2375,500<=X<1000,1<=X<4,4,male mar/wid,none,2,car,45.23088339155951,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
854,no checking,36,delayed previously,new car,10875,<100,>=7,2,male mar/wid,none,2,car,45.23088339155951,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
939,no checking,24,critical/other existing credit,used car,6842,no known savings,1<=X<4,2,male mar/wid,none,4,life insurance,45.23088339155951,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
958,<0,28,existing paid,new car,4006,<100,1<=X<4,3,male mar/wid,none,2,car,45.23088339155951,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,6
776,no checking,36,critical/other existing credit,new car,3535,<100,4<=X<7,4,male mar/wid,none,4,car,36.9776033617886,none,own,2,skilled,1,yes,yes,good,8
515,<0,6,critical/other existing credit,new car,609,<100,4<=X<7,4,male mar/wid,none,3,life insurance,36.9776033617886,none,own,2,skilled,1,none,no,good,8
519,no checking,6,critical/other existing credit,radio/tv,700,no known savings,>=7,4,male mar/wid,none,4,no known property,36.9776033617886,none,for free,2,skilled,1,none,yes,good,8
921,no checking,48,delayed previously,radio/tv,12749,500<=X<1000,4<=X<7,4,male mar/wid,none,1,car,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
657,no checking,48,existing paid,radio/tv,10222,no known savings,4<=X<7,4,male mar/wid,none,3,car,36.9776033617886,stores,own,1,skilled,1,yes,yes,good,8
868,no checking,36,existing paid,business,7409,no known savings,>=7,3,male mar/wid,none,2,life insurance,36.9776033617886,none,own,2,skilled,1,none,yes,good,8
98,0<=X<200,36,critical/other existing credit,radio/tv,2337,<100,>=7,4,male mar/wid,none,4,real estate,36.9776033617886,none,own,1,skilled,1,none,yes,good,8
266,no checking,36,critical/other existing credit,business,6304,no known savings,>=7,4,male mar/wid,none,4,real estate,36.9776033617886,none,own,2,skilled,1,none,yes,good,8
184,0<=X<200,18,critical/other existing credit,new car,884,<100,>=7,4,male mar/wid,none,4,car,36.9776033617886,bank,own,1,skilled,2,yes,yes,bad,8
68,no checking,36,existing paid,education,1819,<100,1<=X<4,4,male mar/wid,none,4,no known property,36.9776033617886,stores,for free,1,skilled,1,yes,yes,bad,8
162,no checking,15,existing paid,domestic appliance,1262,500<=X<1000,4<=X<7,4,male mar/wid,none,3,life insurance,36.9776033617886,none,own,2,skilled,1,yes,yes,good,8
506,>=200,15,critical/other existing credit,used car,2360,500<=X<1000,1<=X<4,2,male mar/wid,none,2,car,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
586,<0,9,critical/other existing credit,new car,2799,<100,1<=X<4,2,male mar/wid,none,2,real estate,36.9776033617886,none,rent,2,skilled,2,none,yes,good,8
377,no checking,7,delayed previously,radio/tv,846,no known savings,>=7,3,male mar/wid,none,4,no known property,36.9776033617886,none,for free,1,skilled,1,none,yes,good,8
370,no checking,36,existing paid,new car,3079,no known savings,1<=X<4,4,male mar/wid,none,4,real estate,36.9776033617886,none,own,1,skilled,1,none,yes,good,8
271,no checking,12,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,3,male mar/wid,none,4,car,36.9776033617886,none,rent,1,skilled,1,yes,yes,good,8
882,0<=X<200,30,critical/other existing credit,new car,2181,no known savings,>=7,4,male mar/wid,none,4,real estate,36.9776033617886,none,own,2,skilled,1,none,yes,good,8
361,>=200,12,existing paid,radio/tv,3399,no known savings,>=7,2,male mar/wid,none,3,car,36.9776033617886,none,own,1,skilled,1,none,yes,good,8
192,0<=X<200,27,existing paid,business,3915,<100,1<=X<4,4,male mar/wid,none,2,car,36.9776033617886,none,own,1,skilled,2,yes,yes,bad,8
365,no checking,12,existing paid,business,1542,<100,4<=X<7,2,male mar/wid,none,4,car,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
30,0<=X<200,18,existing paid,business,1913,>=1000,<1,3,male mar/wid,none,3,real estate,36.9776033617886,bank,own,1,skilled,1,yes,yes,good,8
37,>=200,18,existing paid,radio/tv,2100,<100,1<=X<4,4,male mar/wid,co applicant,2,real estate,36.9776033617886,stores,own,1,skilled,1,none,yes,bad,8
38,>=200,10,existing paid,domestic appliance,1225,<100,1<=X<4,2,male mar/wid,none,2,car,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
160,no checking,24,critical/other existing credit,radio/tv,2872,100<=X<500,>=7,3,male mar/wid,none,4,real estate,36.9776033617886,none,own,1,skilled,2,yes,yes,good,8
164,no checking,36,existing paid,new car,909,500<=X<1000,>=7,4,male mar/wid,none,4,life insurance,36.9776033617886,none,own,1,skilled,1,none,yes,good,8
198,0<=X<200,24,existing paid,used car,2760,no known savings,>=7,4,male mar/wid,none,4,no known property,36.9776033617886,bank,for free,1,skilled,1,yes,yes,good,8
265,0<=X<200,15,existing paid,radio/tv,802,<100,>=7,4,male mar/wid,none,3,car,36.9776033617886,none,own,1,skilled,2,none,yes,bad,8
284,0<=X<200,24,critical/other existing credit,new car,3878,100<=X<500,<1,4,male mar/wid,none,2,car,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
437,no checking,24,critical/other existing credit,new car,1287,>=1000,>=7,4,male mar/wid,none,4,real estate,36.9776033617886,none,own,2,skilled,1,yes,yes,good,8
460,<0,36,existing paid,furniture/equipment,3620,<100,1<=X<4,1,male mar/wid,guarantor,2,life insurance,36.9776033617886,none,own,1,skilled,2,none,yes,good,8
461,<0,15,existing paid,new car,1721,<100,<1,2,male mar/wid,none,3,real estate,36.9776033617886,none,own,1,skilled,1,none,yes,good,8
537,0<=X<200,18,critical/other existing credit,furniture/equipment,3612,<100,>=7,3,male mar/wid,none,4,life insurance,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
546,no checking,24,critical/other existing credit,new car,2022,<100,1<=X<4,4,male mar/wid,none,4,car,36.9776033617886,none,own,1,skilled,1,yes,yes,good,8
563,0<=X<200,36,existing paid,new car,12389,no known savings,1<=X<4,1,male mar/wid,none,4,no known property,36.9776033617886,none,for free,1,skilled,1,yes,yes,bad,8
564,0<=X<200,24,delayed previously,business,4712,no known savings,1<=X<4,4,male mar/wid,none,2,life insurance,36.9776033617886,bank,own,2,skilled,1,yes,yes,good,8
566,<0,12,existing paid,new car,1372,<100,4<=X<7,2,male mar/wid,none,3,car,36.9776033617886,none,own,1,skilled,1,none,yes,bad,8
617,<0,6,critical/other existing credit,new car,3676,<100,1<=X<4,1,male mar/wid,none,3,real estate,36.9776033617886,none,rent,3,skilled,2,none,yes,good,8
628,no checking,42,critical/other existing credit,furniture/equipment,4042,500<=X<1000,1<=X<4,4,male mar/wid,none,4,real estate,36.9776033617886,none,own,2,skilled,1,yes,yes,good,8
681,no checking,12,existing paid,radio/tv,2279,no known savings,1<=X<4,4,male mar/wid,none,4,no known property,36.9776033617886,none,for free,1,skilled,1,yes,yes,good,8
729,>=200,24,critical/other existing credit,business,1275,>=1000,1<=X<4,2,male mar/wid,none,4,real estate,36.9776033617886,none,own,2,skilled,1,yes,yes,good,8
734,no checking,4,critical/other existing credit,new car,3380,<100,4<=X<7,1,male mar/wid,none,1,real estate,36.9776033617886,none,own,1,skilled,2,none,yes,good,8
879,no checking,30,critical/other existing credit,radio/tv,6742,no known savings,4<=X<7,2,male mar/wid,none,3,life insurance,36.9776033617886,none,own,2,skilled,1,none,yes,good,8
973,<0,60,existing paid,business,7297,<100,>=7,4,male mar/wid,co applicant,4,no known property,36.9776033617886,none,rent,1,skilled,1,none,yes,bad,8
908,no checking,15,delayed previously,used car,3594,<100,<1,1,male mar/wid,none,2,life insurance,46.66641295665886,none,own,2,unskilled resident,1,none,yes,good,9
588,<0,18,existing paid,domestic appliance,1217,<100,1<=X<4,4,male mar/wid,none,3,real estate,46.66641295665886,none,own,1,unskilled resident,1,yes,yes,bad,9
823,<0,8,critical/other existing credit,new car,731,<100,>=7,4,male mar/wid,none,4,real estate,46.66641295665886,none,own,2,unskilled resident,1,none,yes,good,9
615,0<=X<200,48,no credits/all paid,business,12204,no known savings,1<=X<4,2,male mar/wid,none,2,car,46.66641295665886,bank,own,1,unskilled resident,1,yes,yes,good,9
156,<0,9,critical/other existing credit,repairs,1288,100<=X<500,>=7,3,male mar/wid,guarantor,4,real estate,46.66641295665886,none,own,2,unskilled resident,2,none,no,good,9
251,>=200,12,existing paid,furniture/equipment,2251,<100,1<=X<4,1,male mar/wid,none,2,car,46.66641295665886,none,own,1,unskilled resident,1,none,yes,good,9
978,no checking,24,delayed previously,new car,2538,<100,>=7,4,male mar/wid,none,4,car,46.66641295665886,none,own,2,unskilled resident,2,none,yes,bad,9
828,<0,36,existing paid,used car,8335,no known savings,>=7,3,male mar/wid,none,4,no known property,46.66641295665886,none,for free,1,unskilled resident,1,none,yes,bad,9
397,<0,36,critical/other existing credit,furniture/equipment,2348,<100,1<=X<4,3,male mar/wid,none,2,life insurance,46.66641295665886,none,own,2,unskilled resident,1,yes,yes,good,9
20,no checking,9,critical/other existing credit,new car,2134,<100,1<=X<4,4,male mar/wid,none,4,car,46.66641295665886,none,own,3,unskilled resident,1,yes,yes,good,9
81,no checking,15,existing paid,radio/tv,1213,500<=X<1000,>=7,4,male mar/wid,none,3,life insurance,46.66641295665886,stores,own,1,unskilled resident,1,yes,yes,good,9
611,>=200,10,existing paid,new car,1240,100<=X<500,>=7,1,male mar/wid,none,4,no known property,46.66641295665886,none,for free,1,unskilled resident,2,none,yes,bad,9
87,0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,male mar/wid,none,4,no known property,46.66641295665886,none,for free,1,unskilled resident,2,yes,yes,bad,9
422,0<=X<200,12,critical/other existing credit,new car,958,<100,4<=X<7,2,male mar/wid,none,3,real estate,46.66641295665886,none,own,2,unskilled resident,2,none,yes,good,9
317,0<=X<200,24,existing paid,furniture/equipment,4351,no known savings,1<=X<4,1,male mar/wid,none,4,life insurance,46.66641295665886,none,own,1,unskilled resident,1,yes,yes,good,9
801,0<=X<200,18,critical/other existing credit,radio/tv,1795,<100,>=7,3,male mar/wid,guarantor,4,real estate,46.66641295665886,bank,rent,2,unskilled resident,1,yes,yes,good,9
22,<0,10,critical/other existing credit,new car,2241,<100,<1,1,male mar/wid,none,3,real estate,46.66641295665886,none,rent,2,unskilled resident,2,none,no,good,9
65,no checking,27,existing paid,repairs,5190,no known savings,>=7,4,male mar/wid,none,4,life insurance,46.66641295665886,none,own,4,unskilled resident,2,yes,yes,good,9
835,<0,12,no credits/all paid,new car,1082,<100,1<=X<4,4,male mar/wid,none,4,car,46.66641295665886,bank,own,2,unskilled resident,1,none,yes,bad,9
71,no checking,7,critical/other existing credit,radio/tv,730,no known savings,>=7,4,male mar/wid,none,2,life insurance,46.66641295665886,none,rent,2,unskilled resident,1,yes,yes,good,9
115,no checking,48,critical/other existing credit,radio/tv,3578,no known savings,>=7,4,male mar/wid,none,1,real estate,46.66641295665886,none,own,1,unskilled resident,1,yes,yes,good,9
133,no checking,18,existing paid,furniture/equipment,1984,<100,1<=X<4,4,male mar/wid,none,4,no known property,46.66641295665886,bank,for free,2,unskilled resident,1,none,yes,good,9
289,<0,24,delayed previously,radio/tv,1024,<100,<1,4,male mar/wid,none,4,real estate,46.66641295665886,stores,own,1,unskilled resident,1,none,yes,bad,9
485,0<=X<200,6,delayed previously,new car,1209,<100,unemployed,4,male mar/wid,none,4,life insurance,46.66641295665886,none,own,1,unskilled resident,1,yes,yes,bad,9
635,no checking,12,existing paid,education,1393,<100,>=7,4,male mar/wid,none,4,life insurance,46.66641295665886,bank,own,3,unskilled resident,2,yes,yes,good,9
669,>=200,30,critical/other existing credit,radio/tv,3017,<100,>=7,4,male mar/wid,none,4,life insurance,46.66641295665886,none,own,1,unskilled resident,1,none,yes,good,9
683,no checking,24,critical/other existing credit,radio/tv,5103,<100,<1,3,male mar/wid,none,3,no known property,46.66641295665886,none,for free,3,unskilled resident,1,yes,yes,good,9
702,>=200,24,existing paid,radio/tv,1377,100<=X<500,>=7,4,male mar/wid,none,2,no known property,46.66641295665886,none,for free,1,unskilled resident,1,yes,yes,good,9
726,no checking,15,critical/other existing credit,radio/tv,1316,500<=X<1000,1<=X<4,2,male mar/wid,none,2,life insurance,46.66641295665886,none,own,2,unskilled resident,1,none,yes,good,9
844,no checking,18,existing paid,furniture/equipment,3422,<100,>=7,4,male mar/wid,none,4,life insurance,46.66641295665886,bank,own,3,unskilled resident,2,yes,yes,good,9
989,0<=X<200,24,critical/other existing credit,radio/tv,1743,<100,>=7,4,male mar/wid,none,2,life insurance,46.66641295665886,none,own,2,unskilled resident,1,none,yes,good,9
358,no checking,12,existing paid,radio/tv,776,<100,1<=X<4,4,male single,none,2,real estate,28.521378411449284,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,11
409,>=200,12,critical/other existing credit,new car,939,500<=X<1000,4<=X<7,4,male single,none,2,real estate,28.521378411449284,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad,11
49,no checking,12,existing paid,radio/tv,2073,100<=X<500,1<=X<4,4,male single,co applicant,2,real estate,28.521378411449284,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,11
451,no checking,6,existing paid,radio/tv,518,<100,1<=X<4,3,male single,none,1,real estate,28.521378411449284,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,11
193,no checking,6,existing paid,radio/tv,2108,<100,4<=X<7,2,male single,none,2,real estate,28.521378411449284,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,11
531,0<=X<200,15,existing paid,new car,2631,100<=X<500,1<=X<4,2,male single,none,4,car,28.521378411449284,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad,11
630,<0,24,existing paid,radio/tv,3660,<100,1<=X<4,2,male single,none,4,car,28.521378411449284,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,11
88,<0,18,existing paid,new car,2249,100<=X<500,4<=X<7,4,male single,none,3,car,28.521378411449284,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good,11
331,no checking,18,critical/other existing credit,education,1864,100<=X<500,1<=X<4,4,male single,none,2,real estate,28.521378411449284,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad,11
