checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
<0,24,all paid,furniture/equipment,3552,<100,4<=X<7,3,female div/dep/mar,none,4,car,30.61320108655912,bank,own,1,unskilled resident,1,none,yes,bad,27
0<=X<200,11,existing paid,furniture/equipment,1577,>=1000,<1,4,female div/dep/mar,none,1,real estate,30.61320108655912,none,own,1,unskilled resident,1,none,yes,good,27
no checking,18,critical/other existing credit,radio/tv,2404,<100,1<=X<4,2,female div/dep/mar,none,2,car,30.61320108655912,none,own,2,unskilled resident,1,none,yes,good,27
0<=X<200,48,existing paid,business,15672,<100,1<=X<4,2,female div/dep/mar,none,2,car,30.61320108655912,none,own,1,unskilled resident,1,yes,yes,bad,27
<0,18,existing paid,furniture/equipment,2462,<100,1<=X<4,2,female div/dep/mar,none,2,car,30.61320108655912,none,own,1,unskilled resident,1,none,yes,bad,27
<0,12,existing paid,new car,1168,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,30.61320108655912,none,own,1,unskilled resident,1,none,yes,good,27
0<=X<200,24,existing paid,new car,1201,<100,<1,4,female div/dep/mar,none,1,life insurance,30.61320108655912,none,own,1,unskilled resident,1,none,yes,good,27
0<=X<200,24,existing paid,used car,11560,<100,1<=X<4,1,female div/dep/mar,none,4,car,30.61320108655912,none,rent,2,unskilled resident,1,none,yes,bad,27
<0,12,existing paid,new car,1893,<100,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,30.61320108655912,none,own,1,unskilled resident,1,yes,yes,good,27
no checking,10,existing paid,radio/tv,1924,<100,1<=X<4,1,female div/dep/mar,none,4,life insurance,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,yes,no,good,6
0<=X<200,24,existing paid,new car,3512,100<=X<500,4<=X<7,2,female div/dep/mar,none,3,car,41.23364180044542,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,6
0<=X<200,12,existing paid,retraining,754,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,41.23364180044542,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,6
0<=X<200,6,existing paid,radio/tv,368,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
0<=X<200,24,critical/other existing credit,radio/tv,1216,100<=X<500,<1,4,female div/dep/mar,none,4,no known property,41.23364180044542,bank,own,2,high qualif/self emp/mgmt,2,none,yes,bad,6
no checking,30,critical/other existing credit,radio/tv,5954,<100,4<=X<7,3,female div/dep/mar,co applicant,2,car,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
no checking,48,existing paid,business,3914,no known savings,1<=X<4,4,female div/dep/mar,none,2,real estate,41.23364180044542,bank,own,1,high qualif/self emp/mgmt,1,none,yes,bad,6
>=200,24,existing paid,new car,947,<100,4<=X<7,4,female div/dep/mar,none,3,no known property,41.23364180044542,bank,for free,1,high qualif/self emp/mgmt,2,none,yes,bad,6
no checking,48,critical/other existing credit,used car,2751,no known savings,>=7,4,female div/dep/mar,none,3,car,41.23364180044542,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
0<=X<200,48,delayed previously,business,6681,no known savings,1<=X<4,4,female div/dep/mar,none,4,no known property,41.23364180044542,none,for free,1,high qualif/self emp/mgmt,2,yes,yes,good,6
no checking,12,existing paid,radio/tv,804,<100,>=7,4,female div/dep/mar,none,4,car,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,6
no checking,24,critical/other existing credit,used car,3868,<100,>=7,4,female div/dep/mar,none,2,car,41.23364180044542,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good,6
no checking,12,critical/other existing credit,business,2292,<100,unemployed,4,female div/dep/mar,none,2,car,41.23364180044542,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,6
0<=X<200,27,no credits/all paid,business,8318,<100,>=7,2,female div/dep/mar,none,4,no known property,41.23364180044542,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad,6
<0,48,existing paid,new car,7763,<100,>=7,4,female div/dep/mar,none,4,no known property,41.23364180044542,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,6
0<=X<200,48,existing paid,radio/tv,3979,no known savings,4<=X<7,4,female div/dep/mar,none,1,car,41.23364180044542,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
>=200,6,existing paid,furniture/equipment,2116,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
0<=X<200,36,delayed previously,new car,8086,100<=X<500,>=7,2,female div/dep/mar,none,4,car,41.23364180044542,none,own,4,high qualif/self emp/mgmt,1,yes,yes,bad,6
0<=X<200,18,critical/other existing credit,furniture/equipment,6361,<100,>=7,2,female div/dep/mar,none,1,no known property,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
no checking,60,existing paid,new car,10366,<100,>=7,2,female div/dep/mar,none,4,life insurance,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
0<=X<200,30,delayed previously,business,2503,100<=X<500,>=7,4,female div/dep/mar,none,2,life insurance,41.23364180044542,stores,own,2,high qualif/self emp/mgmt,1,none,yes,good,6
no checking,21,existing paid,radio/tv,3160,no known savings,>=7,4,female div/dep/mar,none,3,life insurance,41.23364180044542,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
no checking,24,existing paid,used car,6313,no known savings,>=7,3,female div/dep/mar,none,4,car,41.23364180044542,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good,6
<0,36,existing paid,furniture/equipment,2712,<100,>=7,2,female div/dep/mar,none,2,life insurance,41.23364180044542,bank,own,1,high qualif/self emp/mgmt,2,none,yes,bad,6
no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,male div/sep,none,4,no known property,55.91651958640936,none,rent,1,skilled,1,none,yes,good,7
0<=X<200,36,delayed previously,new car,2225,<100,>=7,4,male div/sep,none,4,no known property,55.91651958640936,bank,for free,2,skilled,1,yes,yes,bad,7
no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,male div/sep,none,4,real estate,55.91651958640936,none,own,1,skilled,1,none,yes,good,7
no checking,12,existing paid,used car,1413,>=1000,4<=X<7,3,male div/sep,none,2,life insurance,55.91651958640936,none,own,1,skilled,1,none,no,good,7
no checking,11,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,4,male div/sep,none,4,real estate,55.91651958640936,none,own,3,skilled,1,none,yes,good,7
no checking,12,critical/other existing credit,education,2748,<100,>=7,2,male div/sep,none,4,no known property,55.91651958640936,bank,for free,3,skilled,1,none,yes,good,7
>=200,42,critical/other existing credit,used car,4796,<100,>=7,4,male div/sep,none,4,no known property,55.91651958640936,none,for free,1,skilled,1,none,yes,good,7
0<=X<200,36,existing paid,new car,14318,<100,>=7,4,male div/sep,none,2,no known property,55.91651958640936,none,for free,1,skilled,1,yes,yes,bad,7
<0,30,existing paid,furniture/equipment,3622,>=1000,>=7,4,male div/sep,none,4,life insurance,55.91651958640936,none,rent,2,skilled,1,yes,yes,good,7
no checking,6,existing paid,education,1538,<100,<1,1,male div/sep,none,2,no known property,55.91651958640936,none,own,1,skilled,1,none,yes,good,7
no checking,12,delayed previously,repairs,1555,>=1000,>=7,4,male div/sep,none,4,no known property,55.91651958640936,none,for free,2,skilled,2,none,yes,bad,7
<0,12,existing paid,radio/tv,709,<100,>=7,4,male div/sep,none,4,real estate,55.91651958640936,stores,own,1,skilled,1,none,yes,bad,7
<0,24,all paid,furniture/equipment,6872,<100,<1,2,male div/sep,none,1,life insurance,55.91651958640936,bank,own,1,skilled,1,yes,yes,bad,7
<0,24,critical/other existing credit,radio/tv,1231,>=1000,>=7,4,male div/sep,none,4,life insurance,55.91651958640936,none,rent,2,skilled,1,yes,yes,good,7
>=200,24,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,3,male div/sep,none,3,car,55.91651958640936,none,own,1,skilled,1,none,yes,good,7
no checking,12,critical/other existing credit,education,2096,<100,4<=X<7,2,male div/sep,none,3,real estate,55.91651958640936,none,own,1,skilled,2,none,yes,good,7
<0,12,existing paid,furniture/equipment,1262,no known savings,>=7,2,male div/sep,none,4,life insurance,55.91651958640936,none,own,1,skilled,1,yes,yes,good,7
>=200,18,all paid,radio/tv,1445,no known savings,4<=X<7,4,male div/sep,none,4,car,55.91651958640936,bank,own,1,skilled,1,none,yes,good,7
0<=X<200,12,existing paid,radio/tv,1092,<100,1<=X<4,4,male div/sep,guarantor,4,real estate,55.91651958640936,none,own,2,skilled,1,yes,yes,good,7
<0,24,delayed previously,radio/tv,1024,<100,<1,4,male div/sep,none,4,real estate,55.91651958640936,stores,own,1,skilled,1,none,yes,bad,7
<0,10,critical/other existing credit,new car,1038,<100,4<=X<7,4,male div/sep,co applicant,3,life insurance,55.91651958640936,none,own,2,skilled,1,yes,yes,good,7
no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,>=7,2,male div/sep,none,4,life insurance,55.91651958640936,none,rent,1,skilled,1,yes,yes,good,7
no checking,12,critical/other existing credit,radio/tv,2331,no known savings,>=7,1,male div/sep,co applicant,4,real estate,55.91651958640936,none,own,1,skilled,1,yes,yes,good,7
>=200,9,existing paid,radio/tv,1126,100<=X<500,>=7,2,male div/sep,none,4,real estate,55.91651958640936,none,own,1,skilled,1,none,yes,good,7
<0,24,existing paid,used car,2964,no known savings,>=7,4,male div/sep,none,4,no known property,55.91651958640936,bank,for free,1,skilled,2,yes,yes,good,7
0<=X<200,12,critical/other existing credit,new car,3124,<100,<1,1,male div/sep,none,3,real estate,55.91651958640936,bank,own,2,skilled,2,none,yes,good,7
no checking,12,existing paid,new car,640,<100,1<=X<4,4,male div/sep,none,2,real estate,55.91651958640936,none,own,1,skilled,1,none,yes,good,7
<0,6,existing paid,furniture/equipment,428,<100,>=7,2,male div/sep,none,1,life insurance,55.91651958640936,bank,own,1,skilled,1,yes,yes,good,7
>=200,30,critical/other existing credit,radio/tv,3656,no known savings,>=7,4,male div/sep,none,4,life insurance,55.91651958640936,stores,own,2,skilled,1,none,yes,good,7
0<=X<200,30,critical/other existing credit,furniture/equipment,8386,<100,4<=X<7,2,male div/sep,none,2,life insurance,55.91651958640936,none,own,1,skilled,1,none,yes,bad,7
0<=X<200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male single,none,1,no known property,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,19
<0,8,critical/other existing credit,other,1164,<100,>=7,3,male single,none,4,no known property,51.81317285668109,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,good,19
0<=X<200,11,delayed previously,radio/tv,4771,<100,4<=X<7,2,male single,none,4,life insurance,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,19
<0,10,existing paid,radio/tv,2315,<100,>=7,3,male single,none,4,real estate,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,19
<0,6,critical/other existing credit,radio/tv,338,500<=X<1000,>=7,4,male single,none,4,car,51.81317285668109,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,19
no checking,9,critical/other existing credit,education,936,500<=X<1000,>=7,4,male single,none,2,car,51.81317285668109,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,36,critical/other existing credit,radio/tv,3342,no known savings,>=7,4,male single,none,2,car,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,6,existing paid,radio/tv,1595,<100,4<=X<7,3,male single,none,2,life insurance,51.81317285668109,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,19
no checking,12,critical/other existing credit,radio/tv,717,<100,>=7,4,male single,none,4,real estate,51.81317285668109,none,own,3,high qualif/self emp/mgmt,1,none,yes,good,19
no checking,12,existing paid,radio/tv,3077,<100,1<=X<4,2,male single,none,4,car,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,12,existing paid,new car,2133,no known savings,>=7,4,male single,none,4,no known property,51.81317285668109,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,24,critical/other existing credit,radio/tv,2223,100<=X<500,>=7,4,male single,none,4,life insurance,51.81317285668109,bank,own,2,high qualif/self emp/mgmt,1,none,yes,good,19
<0,18,existing paid,used car,7511,no known savings,>=7,1,male single,none,4,life insurance,51.81317285668109,none,for free,1,high qualif/self emp/mgmt,2,yes,yes,bad,19
0<=X<200,15,critical/other existing credit,radio/tv,1537,no known savings,>=7,4,male single,guarantor,4,real estate,51.81317285668109,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,12,critical/other existing credit,new car,682,100<=X<500,4<=X<7,4,male single,none,3,car,51.81317285668109,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,24,critical/other existing credit,furniture/equipment,3777,>=1000,1<=X<4,4,male single,none,4,real estate,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,19
<0,27,no credits/all paid,business,5293,<100,unemployed,2,male single,none,4,life insurance,51.81317285668109,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,19
no checking,12,existing paid,furniture/equipment,1574,<100,1<=X<4,4,male single,none,2,real estate,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,19
0<=X<200,36,existing paid,radio/tv,2671,100<=X<500,1<=X<4,4,male single,co applicant,4,no known property,51.81317285668109,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,19
<0,48,existing paid,education,7476,<100,4<=X<7,4,male single,none,1,no known property,51.81317285668109,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,21,existing paid,furniture/equipment,2241,<100,>=7,4,male single,none,2,real estate,51.81317285668109,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,19
no checking,6,existing paid,used car,1236,500<=X<1000,1<=X<4,2,male single,none,4,life insurance,51.81317285668109,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,19
0<=X<200,48,delayed previously,education,6224,<100,>=7,4,male single,none,4,no known property,51.81317285668109,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,19
no checking,24,all paid,business,1559,<100,4<=X<7,4,male single,none,4,car,51.81317285668109,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,19
no checking,12,existing paid,new car,2390,no known savings,>=7,4,male single,none,3,car,51.81317285668109,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,19
0<=X<200,20,delayed previously,used car,7057,no known savings,4<=X<7,3,male mar/wid,none,4,life insurance,36.84669160010237,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good,23
0<=X<200,12,critical/other existing credit,new car,2366,500<=X<1000,4<=X<7,3,male mar/wid,none,3,car,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,23
0<=X<200,24,delayed previously,business,6967,100<=X<500,4<=X<7,4,male mar/wid,none,4,car,36.84669160010237,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,23
<0,18,critical/other existing credit,new car,5302,<100,>=7,2,male mar/wid,none,4,no known property,36.84669160010237,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good,23
0<=X<200,48,all paid,new car,12169,no known savings,unemployed,4,male mar/wid,co applicant,4,no known property,36.84669160010237,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,23
>=200,12,existing paid,radio/tv,3399,no known savings,>=7,2,male mar/wid,none,3,car,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,23
<0,6,critical/other existing credit,furniture/equipment,1872,<100,unemployed,4,male mar/wid,none,4,no known property,36.84669160010237,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good,23
no checking,6,existing paid,retraining,1238,no known savings,unemployed,4,male mar/wid,none,4,life insurance,36.84669160010237,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good,23
0<=X<200,24,delayed previously,business,4712,no known savings,1<=X<4,4,male mar/wid,none,2,life insurance,36.84669160010237,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,23
no checking,21,critical/other existing credit,used car,3275,<100,>=7,1,male mar/wid,none,4,car,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,23
<0,18,all paid,radio/tv,1940,<100,<1,3,male mar/wid,co applicant,4,no known property,36.84669160010237,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,23
no checking,24,existing paid,radio/tv,1278,<100,>=7,4,male mar/wid,none,1,real estate,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,23
no checking,48,delayed previously,radio/tv,12749,500<=X<1000,4<=X<7,4,male mar/wid,none,1,car,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,23
<0,12,critical/other existing credit,used car,1409,<100,>=7,4,male mar/wid,none,3,real estate,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,23
0<=X<200,12,existing paid,new car,1318,>=1000,>=7,4,male mar/wid,none,4,real estate,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,23
no checking,24,existing paid,business,4591,>=1000,1<=X<4,2,male mar/wid,none,3,life insurance,36.84669160010237,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad,23
no checking,24,existing paid,new car,2255,no known savings,<1,4,male mar/wid,none,1,life insurance,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,23
no checking,24,delayed previously,new car,717,no known savings,>=7,4,male mar/wid,none,4,car,36.84669160010237,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,23
no checking,24,critical/other existing credit,education,1597,<100,>=7,4,male mar/wid,none,4,no known property,36.84669160010237,none,for free,2,high qualif/self emp/mgmt,2,none,yes,good,23
<0,48,existing paid,domestic appliance,3051,<100,1<=X<4,3,male mar/wid,none,4,car,36.84669160010237,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,23
no checking,7,critical/other existing credit,radio/tv,730,no known savings,>=7,4,male mar/wid,none,2,life insurance,45.931637534557694,none,rent,2,unemp/unskilled non res,1,yes,yes,good,26
no checking,18,critical/other existing credit,radio/tv,1582,>=1000,>=7,4,male mar/wid,none,4,car,45.931637534557694,none,own,2,unemp/unskilled non res,1,none,yes,good,26
>=200,12,existing paid,furniture/equipment,2251,<100,1<=X<4,1,male mar/wid,none,2,car,45.931637534557694,none,own,1,unemp/unskilled non res,1,none,yes,good,26
no checking,48,critical/other existing credit,business,7629,no known savings,>=7,4,male mar/wid,none,2,car,45.931637534557694,bank,own,2,unemp/unskilled non res,2,none,yes,good,26
no checking,10,existing paid,education,727,500<=X<1000,>=7,4,male mar/wid,none,4,no known property,45.931637534557694,none,for free,1,unemp/unskilled non res,1,yes,yes,good,26
<0,36,critical/other existing credit,furniture/equipment,2348,<100,1<=X<4,3,male mar/wid,none,2,life insurance,45.931637534557694,none,own,2,unemp/unskilled non res,1,yes,yes,good,26
0<=X<200,12,existing paid,new car,1223,<100,>=7,1,male mar/wid,none,1,real estate,45.931637534557694,none,rent,2,unemp/unskilled non res,1,none,yes,bad,26
no checking,18,critical/other existing credit,radio/tv,1149,>=1000,1<=X<4,4,male mar/wid,none,3,real estate,45.931637534557694,none,own,2,unemp/unskilled non res,1,none,yes,good,26
<0,48,critical/other existing credit,used car,6331,<100,>=7,4,male mar/wid,none,4,no known property,45.931637534557694,none,for free,2,unemp/unskilled non res,1,yes,yes,bad,26
no checking,21,existing paid,used car,2476,no known savings,>=7,4,male mar/wid,none,4,real estate,45.931637534557694,none,own,1,unemp/unskilled non res,1,yes,yes,good,26
<0,48,existing paid,new car,3931,<100,4<=X<7,4,male mar/wid,none,4,no known property,45.931637534557694,none,for free,1,unemp/unskilled non res,2,none,yes,bad,26
no checking,24,critical/other existing credit,radio/tv,2611,<100,>=7,4,male mar/wid,co applicant,3,real estate,45.931637534557694,none,own,2,unemp/unskilled non res,1,none,yes,good,26
>=200,6,critical/other existing credit,new car,1343,<100,>=7,1,male mar/wid,none,4,real estate,45.931637534557694,none,own,2,unemp/unskilled non res,2,none,no,good,26
no checking,15,critical/other existing credit,radio/tv,1829,<100,>=7,4,male mar/wid,none,4,car,45.931637534557694,none,own,2,unemp/unskilled non res,1,yes,yes,good,26
no checking,15,delayed previously,used car,3594,<100,<1,1,male mar/wid,none,2,life insurance,45.931637534557694,none,own,2,unemp/unskilled non res,1,none,yes,good,26
<0,12,all paid,new car,697,<100,<1,4,male mar/wid,none,2,car,45.931637534557694,bank,own,2,unemp/unskilled non res,1,yes,yes,bad,26
no checking,24,critical/other existing credit,used car,6842,no known savings,1<=X<4,2,male mar/wid,none,4,life insurance,45.931637534557694,none,own,2,unemp/unskilled non res,2,yes,yes,good,26
<0,15,existing paid,furniture/equipment,1845,<100,<1,4,male mar/wid,guarantor,1,life insurance,45.931637534557694,none,rent,1,unemp/unskilled non res,1,none,yes,good,26
>=200,12,all paid,radio/tv,409,>=1000,1<=X<4,3,male mar/wid,none,3,real estate,45.931637534557694,none,rent,2,unemp/unskilled non res,1,none,yes,good,26
0<=X<200,42,critical/other existing credit,business,5954,<100,4<=X<7,2,male mar/wid,none,1,real estate,45.931637534557694,bank,own,2,unemp/unskilled non res,1,none,yes,good,26
no checking,24,existing paid,new car,1469,100<=X<500,>=7,4,male mar/wid,none,4,real estate,45.931637534557694,none,rent,1,unemp/unskilled non res,1,none,yes,good,26
no checking,4,critical/other existing credit,radio/tv,1544,<100,4<=X<7,2,male mar/wid,none,1,real estate,45.931637534557694,none,own,3,unemp/unskilled non res,2,none,yes,good,26
0<=X<200,36,no credits/all paid,radio/tv,3804,<100,1<=X<4,4,male mar/wid,none,1,car,45.931637534557694,none,own,1,unemp/unskilled non res,1,yes,yes,bad,26
no checking,12,existing paid,education,719,<100,>=7,4,male mar/wid,none,4,car,45.931637534557694,bank,own,1,unemp/unskilled non res,2,none,yes,bad,26
no checking,9,critical/other existing credit,education,1244,no known savings,>=7,4,male mar/wid,none,4,life insurance,45.931637534557694,none,rent,2,unemp/unskilled non res,1,none,yes,good,26
no checking,4,critical/other existing credit,radio/tv,1503,<100,4<=X<7,2,male mar/wid,none,1,real estate,45.931637534557694,none,own,2,unemp/unskilled non res,2,none,yes,good,26
<0,6,existing paid,new car,662,<100,<1,3,male mar/wid,none,4,real estate,45.931637534557694,none,own,1,unemp/unskilled non res,2,yes,yes,good,26
0<=X<200,24,delayed previously,new car,1965,no known savings,1<=X<4,4,male mar/wid,none,4,car,45.931637534557694,none,rent,2,unemp/unskilled non res,1,yes,yes,good,26
0<=X<200,12,existing paid,new car,888,<100,>=7,4,male mar/wid,none,4,car,45.931637534557694,bank,own,1,unemp/unskilled non res,2,none,yes,bad,26
no checking,21,delayed previously,business,2580,500<=X<1000,<1,4,male mar/wid,none,2,real estate,45.931637534557694,bank,own,1,unemp/unskilled non res,2,none,yes,bad,26
no checking,6,critical/other existing credit,new car,250,>=1000,1<=X<4,2,male mar/wid,none,2,real estate,45.931637534557694,bank,own,2,unemp/unskilled non res,1,none,yes,good,26
0<=X<200,24,existing paid,radio/tv,5084,no known savings,>=7,2,male mar/wid,none,4,car,45.931637534557694,none,own,1,unemp/unskilled non res,1,yes,yes,good,26
no checking,4,critical/other existing credit,new car,1455,<100,4<=X<7,2,male mar/wid,none,1,real estate,45.931637534557694,none,own,3,unemp/unskilled non res,2,none,yes,good,26
no checking,30,all paid,used car,7485,no known savings,unemployed,4,male div/sep,none,1,real estate,39.17575588175228,bank,own,1,unskilled resident,1,yes,yes,bad,4
<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,male div/sep,none,4,no known property,39.17575588175228,none,for free,1,unskilled resident,1,yes,yes,bad,4
no checking,15,existing paid,radio/tv,3568,<100,>=7,4,male div/sep,none,2,car,39.17575588175228,bank,rent,1,unskilled resident,1,yes,yes,good,4
no checking,6,no credits/all paid,radio/tv,426,<100,>=7,4,male div/sep,none,4,car,39.17575588175228,none,own,1,unskilled resident,1,none,yes,good,4
<0,12,existing paid,radio/tv,701,<100,1<=X<4,4,male div/sep,none,2,real estate,39.17575588175228,none,own,1,unskilled resident,1,none,yes,good,4
<0,21,all paid,new car,1647,no known savings,1<=X<4,4,male div/sep,none,2,life insurance,39.17575588175228,none,own,2,unskilled resident,2,none,yes,bad,4
0<=X<200,18,delayed previously,furniture/equipment,4297,<100,>=7,4,male div/sep,none,3,no known property,39.17575588175228,none,own,1,unskilled resident,1,yes,yes,bad,4
no checking,10,existing paid,new car,1597,500<=X<1000,1<=X<4,3,male div/sep,none,2,no known property,39.17575588175228,none,rent,1,unskilled resident,2,none,no,good,4
<0,6,critical/other existing credit,new car,1361,<100,<1,2,male div/sep,none,4,real estate,39.17575588175228,none,own,1,unskilled resident,2,none,no,good,4
<0,12,existing paid,education,684,<100,1<=X<4,4,male div/sep,none,4,car,39.17575588175228,none,rent,1,unskilled resident,2,none,yes,bad,4
0<=X<200,12,existing paid,radio/tv,1155,<100,>=7,3,male div/sep,guarantor,3,real estate,39.17575588175228,bank,own,2,unskilled resident,1,none,yes,good,4
<0,11,critical/other existing credit,new car,3939,<100,1<=X<4,1,male div/sep,none,2,real estate,39.17575588175228,none,own,2,unskilled resident,2,none,yes,good,4
<0,30,existing paid,used car,3857,<100,1<=X<4,4,male div/sep,none,4,life insurance,39.17575588175228,none,own,1,unskilled resident,1,yes,yes,good,4
no checking,24,critical/other existing credit,radio/tv,5103,<100,<1,3,male div/sep,none,3,no known property,39.17575588175228,none,for free,3,unskilled resident,1,yes,yes,good,4
<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male div/sep,guarantor,4,life insurance,39.17575588175228,none,for free,1,unskilled resident,2,none,yes,good,4
<0,12,all paid,retraining,339,<100,>=7,4,male div/sep,none,1,car,39.17575588175228,bank,own,1,unskilled resident,1,none,yes,good,4
<0,14,existing paid,new car,8978,<100,>=7,1,male div/sep,none,4,life insurance,39.17575588175228,none,own,1,unskilled resident,1,yes,no,bad,4
<0,6,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,1,male div/sep,none,4,real estate,39.17575588175228,none,rent,1,unskilled resident,1,yes,yes,bad,4
no checking,39,existing paid,used car,8588,100<=X<500,>=7,4,male div/sep,none,2,car,39.17575588175228,none,own,1,unskilled resident,1,yes,yes,good,4
no checking,15,existing paid,used car,1300,no known savings,>=7,4,male div/sep,none,4,no known property,39.17575588175228,bank,for free,1,unskilled resident,2,none,yes,good,4
<0,24,existing paid,new car,2303,<100,>=7,4,male div/sep,co applicant,1,real estate,39.17575588175228,none,own,1,unskilled resident,1,none,yes,bad,4
no checking,6,critical/other existing credit,new car,6761,<100,4<=X<7,1,male div/sep,none,3,no known property,39.17575588175228,none,own,2,unskilled resident,2,yes,yes,good,4
no checking,36,delayed previously,new car,10875,<100,>=7,2,male div/sep,none,2,car,39.17575588175228,none,own,2,unskilled resident,2,yes,yes,good,4
no checking,12,existing paid,new car,3527,no known savings,<1,2,male div/sep,none,3,life insurance,39.17575588175228,none,own,1,unskilled resident,2,yes,yes,good,4
<0,24,delayed previously,new car,4870,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,58.765588015237924,none,for free,2,unemp/unskilled non res,2,none,yes,bad,29
no checking,24,existing paid,furniture/equipment,2835,500<=X<1000,>=7,3,female div/dep/mar,none,4,life insurance,58.765588015237924,none,own,1,unemp/unskilled non res,1,none,yes,good,29
no checking,24,critical/other existing credit,radio/tv,2424,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,58.765588015237924,none,own,2,unemp/unskilled non res,1,none,yes,good,29
